A	B	Y	Z	u	coefficient
0	0	0	4	1	55002006239868288
3	0	0	0	1	2089022685219687978809208
2	1	0	0	1	316686696920496904148856
1	2	0	0	1	4753634753396954700720
0	3	0	0	1	-474146555254281504
2	0	1	0	1	1318457001342080820774528
1	1	1	0	1	82290675711288752462736
0	2	1	0	1	610833896350553264976
1	0	2	0	1	196842639570581636043408
0	1	2	0	1	4949311688165392767936
0	0	3	0	1	7843815324243887292288
2	0	0	1	1	-224000183827992336892704
1	1	0	1	1	-925142514040689376176
0	2	0	1	1	235990030395307922928
1	0	1	1	1	-56388334654591781431680
0	1	1	1	1	130419391514576920992
0	0	2	1	1	-3245769035111085071328
1	0	0	2	1	897764722063611975720
0	1	0	2	1	-226914275986420548384
0	0	1	2	1	13433838978795072192
0	0	0	3	1	49065853575898483776
2	0	0	0	1	-28254799564159456636018380
1	1	0	0	1	-1927577281011739632751752
0	2	0	0	1	-15584636504560175352576
1	0	1	0	1	-8930241880038231264698328
0	1	1	0	1	-248406156661785493580640
0	0	2	0	1	-582346591406133119974224
1	0	0	1	1	1343615291771627007273744
0	1	0	1	1	-2494407006179767061136
0	0	1	1	1	166286610192810014239680
0	0	0	2	1	-306651170270668139928
1	0	0	0	1	165425563534605987966975342
0	1	0	0	1	4977813511413190239540120
0	0	1	0	1	22996504353385173712377312
0	0	0	1	1	-3385608663200641588043568
0	0	0	0	1	-377436944851052618448303426
11	0	0	0	2	-62690393304
10	0	0	0	2	12360654347976
9	1	0	0	2	-555701823864
9	0	1	0	2	691766925696
8	0	2	0	2	-76903108128
9	0	0	1	2	307734691968
9	0	0	0	2	308567511547686
8	1	0	0	2	129038604124320
7	2	0	0	2	-1467396296784
8	0	1	0	2	442653732472320
7	1	1	0	2	20461472307792
7	0	2	0	2	84730261350384
6	1	2	0	2	887118163776
6	0	3	0	2	6028233363072
5	0	4	0	2	174732132096
8	0	0	1	2	-76885763040720
7	1	0	1	2	2403518995296
7	0	1	1	2	-10291057200576
6	0	2	1	2	-259905039552
7	0	0	2	2	-559459257696
8	0	0	0	2	-55112668434247698
7	1	0	0	2	-903319324846848
6	2	0	0	2	377328912933312
5	3	0	0	2	-1363584597264
7	0	1	0	2	-19601757242503632
6	1	1	0	2	2112821135665344
5	2	1	0	2	79920189331776
6	0	2	0	2	670394585909088
5	1	2	0	2	598649664807360
4	2	2	0	2	4810620938112
5	0	3	0	2	790662149465472
4	1	3	0	2	60262858483200
4	0	4	0	2	111659818560768
3	1	4	0	2	2273377052160
3	0	5	0	2	7449493349376
2	0	6	0	2	220399211520
7	0	0	1	2	1391538713148504
6	1	0	1	2	-540915903425160
5	2	0	1	2	5460438334464
6	0	1	1	2	-1022796212530464
5	1	1	1	2	-96405766918272
5	0	2	1	2	-293052638175840
4	1	2	1	2	-5071120561728
4	0	3	1	2	-27271953545472
3	0	4	1	2	-987714984960
6	0	0	2	2	150216918294528
5	1	0	2	2	-3580852922208
5	0	1	2	2	25691813642880
4	0	2	2	2	1194917453568
5	0	0	3	2	467822604672
7	0	0	0	2	936798885931404312
6	1	0	0	2	-303546615046248240
5	2	0	0	2	-10405551136043016
4	3	0	0	2	356159111478840
3	4	0	0	2	-302582192544
6	0	1	0	2	-609891586518402288
5	1	1	0	2	-177554061253061136
4	2	1	0	2	511746782894496
3	3	1	0	2	88539414082848
5	0	2	0	2	-395890945907379696
4	1	2	0	2	-27786643236048096
3	2	2	0	2	584265147008832
2	3	2	0	2	5958431461440
4	0	3	0	2	-76015472415747840
3	1	3	0	2	-1242796053146112
2	2	3	0	2	69611866518528
3	0	4	0	2	-7216988098943232
2	1	4	0	2	39452683302144
1	2	4	0	2	2901922951680
2	0	5	0	2	-355592087866368
1	1	5	0	2	2512551011328
1	0	6	0	2	-6611976345600
6	0	0	1	2	161413074461370168
5	1	0	1	2	17067919563317088
4	2	0	1	2	-1075987498507632
3	3	0	1	2	4098074293152
5	0	1	1	2	106556621512744512
4	1	1	1	2	-242360173293984
3	2	1	1	2	-226056430725696
4	0	2	1	2	17553714877581984
3	1	2	1	2	-659314445741568
2	2	2	1	2	-13915761327360
3	0	3	1	2	1102892755873536
2	1	3	1	2	-76718516649984
2	0	4	1	2	23849643566592
1	1	4	1	2	-3159055365120
1	0	5	1	2	264479053824
5	0	0	2	2	-6560396514548568
