A	u	Z	coefficient
2	7	5	18474351685632
2	7	4	-1002494650382661888
2	7	3	-249365374418482932096
2	7	2	34784549634484022779440
2	7	1	4931624160519244566759648
2	7	0	35702303292627422030771220
2	6	5	-221045715873792
2	6	4	-12276671705603329536
2	6	3	3270089274871928909760
2	6	2	1102384460425742050939920
2	6	1	77755963552240606828250400
2	6	0	520026218545674381015715092
2	5	5	-4111395460337664
2	5	4	127158140734567695360
2	5	3	101300803646226777826560
2	5	2	14767925666432140910701440
2	5	1	612058165953429797318994048
2	5	0	3746817620648845738522730028
2	4	5	111263889063628800
2	4	4	1838832703580936208384
2	4	3	799416218295178060211712
2	4	2	95759481905912390167876032
2	4	1	2903836435435302128397225792
2	4	0	16438146854256935542187252208
2	3	5	1236635584992645120
2	3	4	10950003637816919841792
2	3	3	3173951741231629450331136
2	3	2	333039453678774435289608576
2	3	1	8477883412855936593063958512
2	3	0	45294515235872226639211501836
2	2	5	4959518524765949952
2	2	4	29814393276776226253824
2	2	3	7079659943513287813928064
2	2	2	639568024688741773435776000
2	2	1	14724399963241578337467182712
2	2	0	75363523441088955637865469336
2	1	5	8922804617863876608
2	1	4	35458356860231399884800
2	1	3	8456558276188002049989120
2	1	2	639551319583391995530735360
2	1	1	13873240358765084421227158992
2	1	0	68273072076257447095689878520
2	0	5	6127656748177360896
2	0	4	13172363551234414420992
2	0	3	4231901250852616107636480
2	0	2	259231892490328491199786752
2	0	1	5444352336140138204264683080
2	0	0	25545801180574500618674547612
1	12	4	-3157218705024
1	12	3	2015578339251840
1	12	2	-269221262438709504
1	12	1	-13012598714288098464
1	12	0	-105980601294511454808
1	11	4	175007993907456
1	11	3	-80983081297357632
1	11	2	4069160558099486784
1	11	1	738254635651088254512
1	11	0	7161099368228226319536
1	10	5	-235092492288
1	10	4	-2652357577835520
1	10	3	264887968746103488
1	10	2	85035433050358257888
1	10	1	-2857070960716021126704
1	10	0	-38538487682712867152952
1	9	5	11784011175936
1	9	4	11454870666772224
1	9	3	12610298680554792672
1	9	2	562439588672888782416
1	9	1	-19906133134635515640312
1	9	0	-226062144391897989703044
1	8	5	-200269416867840
1	8	4	-663856587584240256
1	8	3	-23072922039513290976
1	8	2	-2314094260288161358656
1	8	1	-65370026814396499771704
1	8	0	-203603579291726664397776
1	7	5	959559393835008
1	7	4	11811847133512631808
1	7	3	2721973777258674775680
1	7	2	-58934696956215523572960
1	7	1	-18004048353200509562114784
1	7	0	-172304195888512368880970760
1	6	5	6733783643166720
1	6	4	99828873730819510272
1	6	3	-13377993001397447693184
1	6	2	-5228041386549847028854464
1	6	1	-338739939821345715867075264
1	6	0	-2871977438799325577292674256
1	5	5	17055578290194432
1	5	4	-1192689663428089234944
1	5	3	-647435110883090560679808
1	5	2	-77988346714777535921998368
1	5	1	-2935979418978823866873714864
1	5	0	-21935662897654870891813717992
1	4	5	-1280636818244536320
1	4	4	-13327231759646519411712
1	4	3	-4718611228695495100543872
1	4	2	-480843766603010991781090944
1	4	1	-14176349160859343055457714896
1	4	0	-96382459617649893965442840840
1	3	5	-13046411105503156224
1	3	4	-65571326416183560754176
1	3	3	-16525353070073737892411136
1	3	2	-1542138591152652167116198656
1	3	1	-40126134836441695531225939704
1	3	0	-256306183105461966832979000124
1	2	5	-53302589923037534208
1	2	4	-157920652080967668166656
1	2	3	-32193275529274858245542400
1	2	2	-2730434040466542458468325504
1	2	1	-66152121904730805728252966568
1	2	0	-405890154696697503502317983280
1	1	5	-99905355254646226944
1	1	4	-164557573912929944623104
1	1	3	-33490389255699150658211328
1	1	2	-2540103443231835793302491904
1	1	1	-58853790572671970546197259808
1	1	0	-351348041814995059972995748968
1	0	5	-71189640195594080256
1	0	4	-46569019658485850449920
1	0	3	-14448802606714248937417728
1	0	2	-970081141778689500374004864
1	0	1	-21855684734213346513772182000
1	0	0	-127669375912913766804444161040
0	12	5	-22039921152
0	12	4	22592296675872
0	12	3	-7107436528087104
0	12	2	602697266761799088
0	12	1	27300357496994267664
0	12	0	193594810396522552578
0	11	5	1454634796032
0	11	4	-1242594224608896
0	11	3	279292926479748192
0	11	2	-7440097709637728784
0	11	1	-1426055052786598191672
0	11	0	-12076037067764545819812
0	10	5	-35374073448960
0	10	4	21632871358224000
0	10	3	-1275917910418134720
0	10	2	-220632833664864846720
0	10	1	5045464646118027592560
0	10	0	62330748967951580108520
0	9	5	341001660063744
0	9	4	-164465858822031360
0	9	3	-34551322069697356320
0	9	2	-857048062356020327760
0	9	1	43940625456659230850760
0	9	0	418818469819431863326068
0	8	5	44101882225152
0	8	4	3491514989066282112
0	8	3	160269473469259627200
0	8	2	3392536741766300768112
0	8	1	-61716409304392602368928
0	8	0	-856854461854180495299132
0	7	5	-20139418751063040
0	7	4	-49866943843776432384
0	7	3	-8246507956715362855104
0	7	2	44999561920777506635472
0	7	1	28909311012368550926509248
0	7	0	249860225133764934380689140
0	6	5	50567094735800832
0	6	4	-340345336161028184064
0	6	3	30356417970548003948832
0	6	2	10418608870140445096869648
0	6	1	570536236667514146578975800
0	6	0	4286863742231280364098910812
0	5	5	159118797631186944
0	5	4	4459609731563023094784
0	5	3	1609237809340241665651200
0	5	2	152452331122092135393055104
0	5	1	4873481026922541922933632984
0	5	0	32358894854974606646512991316
0	4	5	3791294541572456448
0	4	4	39693708859940031352320
0	4	3	10723036199467562830448640
