row	column	A	B	Y	Z	u	coefficient
0	0	3	2	3	1	1	25565516581122826260480000000000
0	0	3	2	3	1	0	135040106126513683611648000000000
0	0	3	2	3	0	2	1114182460377835066589184000000000
0	0	3	2	3	0	1	162605813869133147323279687680000000
0	0	3	2	3	0	0	4468935254452044021381773131776000000
0	0	3	2	2	2	0	107171999972521516707840000000000
0	0	3	2	2	1	2	-249289182874471850237952000000000
0	0	3	2	2	1	1	-47741639257636006928547962880000000
0	0	3	2	2	1	0	-455021174777211120625383260160000000
0	0	3	2	2	0	2	-844804382452013456850158419968000000
0	0	3	2	2	0	1	-86820311933224614978121681182720000000
0	0	3	2	2	0	0	-1671413418318830203616355012022272000000
0	0	3	2	1	2	2	778817061411688747008000000000
0	0	3	2	1	2	1	-1342861209134368603029504000000000
0	0	3	2	1	2	0	-138675237130965536439099678720000000
0	0	3	2	1	1	2	170114505642146336629239889920000000
0	0	3	2	1	1	1	20410936028179155325939265335296000000
0	0	3	2	1	1	0	192175166285130827474046480384000000000
0	0	3	2	1	0	2	175608081011726366442772063408128000000
0	0	3	2	1	0	1	15596960866809892665534392862053376000000
0	0	3	2	1	0	0	238831321683210752696221492950657024000000
0	0	3	2	0	3	2	169308056828627988480000000000
0	0	3	2	0	3	1	18053067272885745184972800000000
0	0	3	2	0	3	0	-460878728854976249201049600000000
0	0	3	2	0	2	2	-966699566538871854848163840000000
0	0	3	2	0	2	1	532388374761738452984788709376000000
0	0	3	2	0	2	0	26704100932623432265397324599296000000
0	0	3	2	0	1	2	-23557867777618470587933438607360000000
0	0	3	2	0	1	1	-2367997657891505470820203590739968000000
0	0	3	2	0	1	0	-20517399581992481439036992293208064000000
0	0	3	2	0	0	2	-10170533085723713670945646491795456000000
0	0	3	2	0	0	1	-871096107580131062779117960676382720000000
0	0	3	2	0	0	0	-11454396376056930235641102749973504000000000
0	0	3	1	5	0	1	-4876072036664486068224000000000
0	0	3	1	5	0	0	-4593584930007056842004889600000000
0	0	3	1	4	1	1	23567681510545015996416000000000
0	0	3	1	4	1	0	2241286511652831021259161600000000
0	0	3	1	4	0	1	85815747159191489529658736640000000
0	0	3	1	4	0	0	6637479938333269839736840912896000000
0	0	3	1	3	2	1	-5417857818516095631360000000000
0	0	3	1	3	2	0	-18082100469297469169664000000000
0	0	3	1	3	1	1	-64077714158964088640622428160000000
0	0	3	1	3	1	0	-3219666286975301481005711130624000000
0	0	3	1	3	0	1	-66699239244267932238263205593088000000
0	0	3	1	3	0	0	-3136130338502247044808266840383488000000
0	0	3	1	2	3	0	-33297251176296837734400000000000
0	0	3	1	2	2	1	10132791927942275983316090880000000
0	0	3	1	2	2	0	149462665771574089342249205760000000
0	0	3	1	2	1	1	36829145209331398981710873673728000000
0	0	3	1	2	1	0	1341591713562310688217908634402816000000
0	0	3	1	2	0	1	17659577695836411105921544630173696000000
0	0	3	1	2	0	0	644947930428331132543636777489588224000000
0	0	3	1	1	3	1	51290558975790848670105600000000
0	0	3	1	1	3	0	45316172556570683350548725760000000
0	0	3	1	1	2	1	-4481840573084139887295142723584000000
0	0	3	1	1	2	0	-80483721466492833321105647345664000000
0	0	3	1	1	1	1	-6931732900875394535915813617213440000000
0	0	3	1	1	1	0	-210091014374632973210500226752573440000000
0	0	3	1	1	0	1	-1908426038081628902671098674198857728000000
0	0	3	1	1	0	0	-59850968923100459398404712673356775424000000
0	0	3	1	0	4	1	-8634460071509170185830400000000
0	0	3	1	0	4	0	137947313582324369093836800000000
0	0	3	1	0	3	1	-29320626566177092300147310592000000
