# FIX-VII-GATE candidate 6, p=67: degree-34 G-equivariant tuple
# (1,6)-profile along the arrangement AND vanishing on the Hessian curve C_20
# format: <component 0..4> <e0 e1 e2 e3 e4> <coefficient>
0 16 7 1 0 10 36
0 16 7 0 6 5 20
0 16 6 8 0 4 51
0 16 6 6 1 5 35
0 16 6 5 7 0 46
0 16 6 4 2 6 2
0 16 6 3 8 1 35
0 16 6 2 3 7 2
0 16 6 1 9 2 45
0 16 6 0 4 8 10
0 16 5 11 2 0 57
0 16 5 9 3 1 33
0 16 5 7 4 2 30
0 16 5 5 5 3 56
0 16 5 4 0 9 21
0 16 5 3 6 4 3
0 16 5 2 1 10 35
0 16 5 1 7 5 32
0 16 5 0 13 0 27
0 16 5 0 2 11 10
0 16 4 11 0 3 24
0 16 4 9 1 4 10
0 16 4 7 2 5 27
0 16 4 6 8 0 54
0 16 4 5 3 6 31
0 16 4 4 9 1 49
0 16 4 3 4 7 9
0 16 4 2 10 2 50
0 16 4 1 5 8 37
0 16 4 0 11 3 12
0 16 4 0 0 14 6
0 16 3 12 3 0 14
0 16 3 10 4 1 15
0 16 3 8 5 2 50
0 16 3 7 0 8 6
0 16 3 6 6 3 23
0 16 3 5 1 9 23
0 16 3 4 7 4 1
0 16 3 3 2 10 19
0 16 3 2 8 5 36
0 16 3 1 14 0 10
0 16 3 1 3 11 24
0 16 3 0 9 6 15
0 16 2 14 0 2 40
0 16 2 12 1 3 4
0 16 2 10 2 4 14
0 16 2 8 3 5 31
0 16 2 7 9 0 24
0 16 2 6 4 6 19
0 16 2 5 10 1 3
0 16 2 4 5 7 48
0 16 2 3 11 2 23
0 16 2 3 0 13 59
0 16 2 2 6 8 28
0 16 2 1 12 3 45
0 16 2 1 1 14 7
0 16 2 0 7 9 9
0 16 1 13 4 0 7
0 16 1 11 5 1 11
0 16 1 10 0 7 16
0 16 1 9 6 2 50
0 16 1 8 1 8 66
0 16 1 7 7 3 52
0 16 1 5 8 4 18
0 16 1 4 3 10 26
0 16 1 3 9 5 37
0 16 1 2 15 0 16
0 16 1 2 4 11 31
0 16 1 1 10 6 65
0 16 1 0 16 1 3
0 16 1 0 5 12 13
0 16 0 17 0 1 17
0 16 0 15 1 2 34
0 16 0 13 2 3 29
0 16 0 11 3 4 15
0 16 0 9 4 5 8
0 16 0 8 10 0 40
0 16 0 7 5 6 52
0 16 0 6 11 1 13
0 16 0 6 0 12 33
0 16 0 5 6 7 57
0 16 0 4 12 2 7
0 16 0 4 1 13 29
0 16 0 3 7 8 40
0 16 0 2 13 3 46
0 16 0 2 2 14 46
0 16 0 1 8 9 22
0 16 0 0 14 4 34
0 16 0 0 3 15 62
0 15 17 1 0 1 7
0 15 15 4 0 0 52
0 15 15 2 1 1 18
0 15 15 0 2 2 56
0 15 14 0 0 5 12
0 15 13 5 1 0 45
0 15 13 3 2 1 14
0 15 13 1 3 2 45
0 15 12 3 0 4 49
0 15 12 1 1 5 29
0 15 12 0 7 0 39
0 15 11 6 2 0 54
0 15 11 4 3 1 54
0 15 11 2 4 2 30
0 15 11 0 5 3 46
0 15 10 6 0 3 36
0 15 10 4 1 4 14
0 15 10 2 2 5 14
0 15 10 1 8 0 4
0 15 10 0 3 6 64
0 15 9 7 3 0 59
