A	B	Y	T	coefficient
1	3	0	2	-7445597760
1	3	0	1	-11118225670272
1	3	0	0	-274706259608772
1	2	6	0	248832
1	2	5	0	-191849472
1	2	4	1	75396096
1	2	4	0	96046321536
1	2	3	2	33094656
1	2	3	1	-40492182528
1	2	3	0	-21615039505008
1	2	2	3	-11059200
1	2	2	2	-17682437376
1	2	2	1	6097367617344
1	2	2	0	2323345664639160
1	2	1	3	3061628928
1	2	1	2	2479221551232
1	2	1	1	-339082554336768
1	2	1	0	-118931690835719892
1	2	0	4	358318080
1	2	0	3	-158547912192
1	2	0	2	-103028122660896
1	2	0	1	5700070513714536
1	2	0	0	2341093203098475408
1	1	7	0	-35831808
1	1	6	1	3981312
1	1	6	0	37641314304
1	1	5	1	-6348201984
1	1	5	0	-13104310284288
1	1	4	2	1409384448
1	1	4	1	2455282824192
1	1	4	0	2256986198617344
1	1	3	3	7299072
1	1	3	2	-786342463488
1	1	3	1	-439399008979200
1	1	3	0	-217547600606476416
1	1	2	4	-44236800
1	1	2	3	-8901218304
1	1	2	2	141914205771264
1	1	2	1	41537180951009280
1	1	2	0	11976700024370052864
1	1	1	4	16116350976
1	1	1	3	2918322722304
1	1	1	2	-10481065320939264
1	1	1	1	-2016975799660886064
1	1	1	0	-352213141726028856600
1	1	0	5	1146617856
1	1	0	4	-1097967218688
1	1	0	3	-198826633442304
1	1	0	2	274581447790379904
1	1	0	1	39677625505650714192
1	1	0	0	4288579236350289217548
1	0	8	0	1576599552
1	0	7	1	-286654464
1	0	7	0	-943487336448
1	0	6	2	15925248
1	0	6	1	309945139200
1	0	6	0	241164263817216
1	0	5	2	-15288238080
1	0	5	1	-119031456669696
1	0	5	0	-34090634420720640
1	0	4	3	3758358528
1	0	4	2	4912245264384
1	0	4	1	23212826256992256
1	0	4	0	2871515885470419456
1	0	3	4	-323813376
1	0	3	3	-1651452198912
1	0	3	2	-777471490962432
1	0	3	1	-2575944660201882624
1	0	3	0	-143343585705527932032
1	0	2	5	-70778880
1	0	2	4	197994627072
1	0	2	3	269438408957952
1	0	2	2	66942606225853440
1	0	2	1	165613349719769860224
1	0	2	0	3860821225259856174528
1	0	1	5	31977897984
1	0	1	4	-25833058430976
1	0	1	3	-19201195089294336
1	0	1	2	-3027855409556147136
1	0	1	1	-5770054901866380334848
1	0	1	0	-39322687928119924746852
1	0	0	6	1528823808
1	0	0	5	-2607337340928
1	0	0	4	926243800648704
1	0	0	3	502235448527052288
1	0	0	2	56560868186686795008
1	0	0	1	84568788448564147779240
1	0	0	0	-159120956643724397092230
0	6	0	0	-14580
0	5	2	0	34992
0	5	1	0	-4513968
0	5	0	1	-699840
0	5	0	0	137702268
0	4	4	0	3888
0	4	3	0	-4548960
0	4	2	1	1399680
0	4	2	0	961002792
0	4	1	1	-199454400
0	4	1	0	-75179769624
0	4	0	2	-13996800
0	4	0	1	6613488000
0	4	0	0	2042884181727
0	3	5	0	-373248
0	3	4	1	124416
0	3	4	0	165442176
0	3	3	1	-102736512
0	3	3	0	-27913958208
0	3	2	2	22394880
0	3	2	1	22056297408
0	3	2	0	2225883232872
0	3	1	2	-3493601280
0	3	1	1	-1811746141920
0	3	1	0	-82125567445104
0	3	0	3	-149299200
0	3	0	2	128093814720
0	3	0	1	51069762482688
0	3	0	0	1060045191325404
0	2	6	0	2239488
0	2	5	1	-4478976
0	2	5	0	801176832
0	2	4	2	1492992
0	2	4	1	181398528
0	2	4	0	-573763544064
0	2	3	2	-718875648
0	2	3	1	198555805440
0	2	3	0	109020240395856
0	2	2	3	179159040
0	2	2	2	142163538048
0	2	2	1	-30364429982112
0	2	2	0	-9598091394311244
0	2	1	3	-30367457280
0	2	1	2	-12245421006720
0	2	1	1	1581574640236992
0	2	1	0	409384300794281856
0	2	0	4	-895795200
0	2	0	3	1239707773440
0	2	0	2	376620162360480
0	2	0	1	-26587676019244392
0	2	0	0	-6852189185630799066
0	1	7	0	644972544
0	1	6	1	-179159040
0	1	6	0	-359169085440
0	1	5	1	94327234560
0	1	5	0	85099672839168
0	1	4	3	7962624
0	1	4	2	-15801827328
0	1	4	1	-21490465010688
0	1	4	0	-11110934023875072
0	1	3	3	-1092870144
0	1	3	2	5764240558080
0	1	3	1	2700672758320896
0	1	3	0	862427219674496832
0	1	2	4	716636160
0	1	2	3	7941224448
0	1	2	2	-781776410595840
0	1	2	1	-196018860120908544
0	1	2	0	-39742685326596167280
0	1	1	4	-131144417280
0	1	1	3	935744306688
0	1	1	2	46722724552400256
0	1	1	1	7726749864969774960
0	1	1	0	1005029375507803757088
0	1	0	5	-2866544640
0	1	0	4	5965592924160
0	1	0	3	123180711171840
0	1	0	2	-1038075460893962784
0	1	0	1	-128236461241861755504
0	1	0	0	-10734672108137779384848
0	0	9	0	47775744
0	0	8	0	-33216086016
0	0	7	1	3869835264
0	0	7	0	10114781921280
0	0	6	2	-286654464
0	0	6	1	-2455410475008
0	0	6	0	-1764069847050240
0	0	5	3	95551488
0	0	5	2	146086281216
0	0	5	1	667331807182848
0	0	5	0	193129635837132288
0	0	4	4	15925248
0	0	4	3	-53317730304
0	0	4	2	-31781747699712
0	0	4	1	-100715210570502144
0	0	4	0	-13647005881103718144
0	0	3	4	3296526336
0	0	3	3	12179177791488
0	0	3	2	3793863867420672
0	0	3	1	9116968369250340864
0	0	3	0	613430529228542692368
0	0	2	5	1146617856
0	0	2	4	-1678379802624
0	0	2	3	-1387588811692032
0	0	2	2	-262458400792902912
0	0	2	1	-495048521567144342016
0	0	2	0	-16446396363406323248772
0	0	1	5	-225310408704
0	0	1	4	171515210600448
0	0	1	3	77828838900019200
0	0	1	2	9958379339460643776
0	0	1	1	14931347426948818783728
0	0	1	0	223339660666036151205528
0	0	0	6	-3822059520
0	0	0	5	11390860099584
0	0	0	4	-5271233658414336
0	0	0	3	-1709509555658775168
0	0	0	2	-161150253532391674944
0	0	0	1	-192988022965045874672616
0	0	0	0	-919528993766406078652761
