A	B	Y	Z	coefficient
32	3	3	1	-830464451445694913098439269746971401059926016
32	3	2	2	7191054913080807998094812790951560057020416
32	2	5	0	386709240581690723833463091353642268119881236480
32	2	4	1	-116575360838762779093067633978818236236932227072
32	2	3	2	7578094638815110868813843005042106659108872192
32	2	2	3	-78842324289068355944627562913084360112578560
32	1	6	0	12287058042913967916509615287419515064575921049600
32	1	5	1	-3594685516072924145589082958268636709549313310720
32	1	4	2	345869562411448775814941876155454654390186471424
32	1	3	3	-12919244864488526259690435970706157709957595136
32	1	2	4	143772809693081070363671230391951781084168192
32	0	7	0	284999351682915649708615012965848241146696448000
32	0	6	1	-196517579034869989520652081901644557233288780800
32	0	5	2	33101514569499921863236769628833368425517547520
32	0	4	3	-1733455106516830836262326988602950442854793216
32	0	3	4	21361856720658128014663966066659693670367232
31	4	4	0	15298838483946242417620999210433962870530048
31	3	5	0	-84685508390341493325216552694667137763328000
31	3	4	1	-24062106869967530091730321913911423441403904
31	2	6	0	23077738802047605798719351581521778290888806400
31	2	5	1	-5574246622493294597013377510279438670634598400
31	2	4	2	212883094711355013292439946003896155490353152
31	1	7	0	1031475516160626870676169033600876445273298944000
31	1	6	1	-251488887488107823405475429748181752113631641600
31	1	5	2	18285319951636202514949381543338188081246208000
31	1	4	3	-396539536021563321858025427961575295011782656
31	0	8	0	-12893575625380480902719582273140504915375104000
31	0	7	1	1041258340425989674769613833223461493356544000
31	0	6	2	196570526761494341327496817142791787700633600
31	0	5	3	-9000411178630605427799471061330425384140800
31	0	4	4	9863825956045846047570222260905661595648
30	3	6	0	-552667184955169265367416215906954573824000
30	2	7	0	718271295557045130574117132168166745231360000
30	2	6	1	-104702387051660735277136569028875523821158400
30	1	8	0	53191278101365691996461995880433890724855808000
30	1	7	1	-9482526953851654512130431389427414637645824000
30	1	6	2	382535480934099346309671620948324368962355200
30	0	9	0	-1340860185494430683939831412084207662991360000
30	0	8	1	382092475387368307687092542475306281392128000
30	0	7	2	-24872300263934604774407384549177404612608000
30	0	6	3	411919179690541495618512619517150561894400
29	2	8	0	8970043176220883442630995896435456137216000
29	1	9	0	1550667365040852202788025165394354466201600000
29	1	8	1	-150153362265819852679618669361234225430528000
29	0	10	0	-23214052609656824756949873865931516037120000
29	0	9	1	9750115055828794678424507507289457582080000
29	0	8	2	-410406006181666939449452043503838732288000
28	1	10	0	19673823740236373444316634298432800972800000
28	0	11	0	998319547908069495046972851588857856000000
28	0	10	1	12963272468858830681828763156509040640000
27	0	12	0	32369274445415601648985502483425075200000
38	0	0	0	-116214375256680262645072210648125476655588295790017569
37	1	0	0	-50076127753757760827000300989508901655777760898005172
37	0	1	0	-383006899929762451284803283687259907114104639175144892
37	0	0	1	51869971359886077731436844633742185925053444060223016
36	2	0	0	-4409686700177783116245402653701308923197591696254228
36	1	1	0	-220403869730846124492986976764355362374175977807400184
36	1	0	1	24793986669295501564452624176887704509300562823064328
36	0	2	0	-240966525455009614666610603012772287904000433114782486
36	0	1	1	49149232378301664227098227669148038359247518082533184
36	0	0	2	-2038076743909223275145466238346913731706301576749312
35	3	0	0	-135456739933545508057405074409186023270325856572824
35	2	1	0	-5425032399949875412516486484590738759642202306661456
35	2	0	1	454106810937336556500501326749586153146011138235584
35	1	2	0	-178069132074985947317512168363363046900566449102243552
35	1	1	1	27266542260509438889894397867301557630634150462878560
35	1	0	2	-839508363027893350535415907741017512556284546822784
35	0	3	0	-4012651532286100654766671154313761730736359033149568
35	0	2	1	-14263556707100524784651440192865377767049126633582848
35	0	1	2	3503580571166943299080394839414567907136967581429504
35	0	0	3	-188463952852524010821754917418760377345384457596416
34	4	0	0	-5830381025307058244621004644861869530321602223360
34	3	1	0	-241076584692970456774411205361571378850727304725504
34	3	0	1	9736021590208435851161434146454823793512560274688
34	2	2	0	-815839222366151239366347224028529197521660283351720
34	2	1	1	-421125570868320426932493350153162809105692760454784
34	2	0	2	50545274363167022770484930202261262347032848823424
34	1	3	0	-34213399001734555378856565659446723568456603160281280
34	1	2	1	-2403060464365031036729956834765768199090830929646560
34	1	1	2	1236504264518750463470231672405532793618443836746752
34	1	0	3	-61872544585334001789535699954200435082633554121728
34	0	4	0	42503455377137942761983521401751568179678404846270848
34	0	3	1	-26645224319300898498539703468855742977420785031118848
34	0	2	2	5285271642165749994213499530679538928125721711106560
34	0	1	3	-405268007382576408597578689065192238697055363778560
34	0	0	4	10538241591292280219615206020998140433701385644032
33	5	0	0	32527238664292714794557643800131656164489861376
33	4	1	0	-4065571251174861373684728777523408457414398213632
33	4	0	1	27578766466448746318450016582120896036318820352
33	3	2	0	-162179323497098036829390385573848796434254030913408
33	3	1	1	5743779244578238111934300428341523107993655053312
33	3	0	2	669114149538601961948263107939707958873152864256
33	2	3	0	866750035846460506599742509022825004704684906985088
33	2	2	1	-705031414498144955925701192275096957594283431004544
33	2	1	2	94356190030557166537188131453844538179947887638528
33	2	0	3	-3312245215171083840727331821973508551055722982912
33	1	4	0	16600790167750407055864564437886732071117872162577600
33	1	3	1	-11543144105876383314849648425245904903021073924337152
33	1	2	2	1994037893292096467204977666662135602175323092380672
33	1	1	3	-128385463494466290828338957056165815974798895464448
33	1	0	4	2858384070246693756623040500131592190372931117056
33	0	5	0	17277010617687433949798533133950288486804607092046400
33	0	4	1	-10857373058670754722242235193908174442673845135918080
33	0	3	2	2334054730580825276123589587171229348562292528120832
33	0	2	3	-216291756225310026262790482198209533658040983951360
33	0	1	4	8778750837508423971457954663462672562440368758784
33	0	0	5	-127194518231277591690695819798563897948380438528
32	6	0	0	801797751638862269486844711754944941803158528
32	5	1	0	58797187761061620529132814063621526849279105024
32	5	0	1	-5545954990977012860365919358096855483494633472
32	4	2	0	-687102897829356243506914695317527634432665161216
32	4	1	1	-96167067969735411334668472112968329897895471104
32	4	0	2	9935128159334331552735714923364040538991919104
32	3	3	0	-56767167024522550004489812633826669709549592026624
32	3	2	1	2222968474310530047558722540901994675596882278400
32	3	1	2	377405840638388837802108522871828599537347702784
32	3	0	3	-12547674756500528605444448847670026440403738624
32	2	4	0	418206484820364507249153413038145729822429660060928
32	2	3	1	-297050158706444499376741586934734279074106478249984
32	2	2	2	44156887678577335571530877504402907297098016356352
32	2	1	3	-2232780371043149205220337499661348169332039827456
32	2	0	4	34587753344140667206045980406376788213155840000
32	1	5	0	10777197221604740606556573513399187167014761780506624
32	1	4	1	-5508998076024009630217814887200472457037760589534208
32	1	3	2	917478793223466278538644105015390136796203543539712
32	1	2	3	-66832450441458488757541178232965147179339324379136
32	1	1	4	2229344283579074381268787160605699282689531592704
32	1	0	5	-28625803359328166759175294455579523337257861120
32	0	6	0	3312571629811239445407787134262675075556726638590240
32	0	5	1	-2181766566442218238297209024578153369741805424286208
32	0	4	2	494507900938814946538618858996737820109474371811328
32	0	3	3	-49043791969838458783514318092261255878560784113664
32	0	2	4	2194215803663256277306641940966475762568068812800
32	0	1	5	-36935269603992921191312097651821938068793982976
31	7	0	0	-2107041947860487717747574370099824203169792
31	6	1	0	83466088930522635481099842937908592040570880
31	6	0	1	15203942434840674648928603766340106999554048
31	5	2	0	16809853608146701589295865202682999857286368256
31	5	1	1	-995971275515142139587489966321844794670030848
31	5	0	2	-39473304488323603980563336398304473306349568
31	4	3	0	53016090721961824984148221016509339901821009920
31	4	2	1	-35451322125883033549727979175577495631032604672
31	4	1	2	1694590420571248958862383089499031450905149440
31	4	0	3	85987545300437100302597474882340432569106432
31	3	4	0	-11282062451880945296561767417467841086285872698368
31	3	3	1	540920115205865770684561168961415658724027965440
31	3	2	2	54578761158457547373840084112032296767369506816
31	3	1	3	-40224557061649658488799174449908896015450112
31	3	0	4	-172733113324387654363101283640607343114764288
31	2	5	0	81413870774262541898539259432956643990574490653696
31	2	4	1	-59052416409517906212556672778543136224148127408128
31	2	3	2	8726157599563006303449108582975763628021200490496
31	2	2	3	-433242013971612204744012876226663279378560319488
31	2	1	4	4921546231041912586924651090791909777360715776
31	2	0	5	119927793406484133481646797702096999392903168
31	1	6	0	2801277379991334907017613799734604550274959083182080
31	1	5	1	-1289981731255076964807035273129482651018993486792704
31	1	4	2	204486817544611764838373850434739780292723766777856
31	1	3	3	-14675772524904423364284218988270283957337767477248
31	1	2	4	497543246922922414814003702918790937869282115584
31	1	1	5	-6664820148886024253193369466484263499135778816
31	0	7	0	350315673470477153111202986613321591027257743833600
31	0	6	1	-245175886274553487263755103626250144505413305141760
31	0	5	2	57006441364140745591000261174323247623271006347264
31	0	4	3	-5606296252207938622605392425918895332984640520192
31	0	3	4	238179876241045083380503171783858013175105454080
31	0	2	5	-3526035621314011053726474960001883255144448000
30	6	2	0	-2991653043937120418565261264164164081999872
30	5	3	0	1699007220443480666070161472532689815177453568
30	5	2	1	-34451275033666214181922184995343194011009024
30	4	4	0	25345326955525562543260794815938276110370646016
30	4	3	1	-4223528170227174067115839449125085718918742016
30	4	2	2	89771599135317294509843750639699361706205184
30	3	5	0	-1309630312636059145210722005899710554098598633472
30	3	4	1	67099947551606440600158762720852905564265037824
30	3	3	2	3221908353432627899617545913171490222323482624
30	3	2	3	35749762765020033516517774729040958893064192
30	2	6	0	8232233638674451950703072753107130643995186652160
30	2	5	1	-6389508632201792476651258389411193870737437933568
30	2	4	2	850236733187845689922088613559924160840458641408
30	2	3	3	-33909526871597078622640218381614894776995938304
30	2	2	4	219734225361793897265515618639966826644881408
30	1	7	0	427994305676689178315436808685218746512554532505600
30	1	6	1	-177512635424855251367675085023693679300448725688320
30	1	5	2	25298152246920667828951453827003305156717295108096
30	1	4	3	-1588798399735201163851789844878849129770651844608
30	1	3	4	43758262707356695531453191024744088258836037632
30	1	2	5	-384211793248476780674098599668882182263472128
30	0	8	0	18739175052763007285888178373856965033475378073600
30	0	7	1	-14999696998551985288272834667519927358632488038400
30	0	6	2	3584247986867289806954727712947201753035785789440
30	0	5	3	-330739107738665262678053120381230416975639773184
30	0	4	4	11791088890979424164894665690993214710229827584
30	0	3	5	-119258832117972721978625449128572923809103872
29	5	4	0	58136137056656775807967059736996945396408320
29	4	5	0	2423787093583557201364179330239408858912882688
29	4	4	1	-167028703610059676878191761980999328151404544
29	3	6	0	-87416041590280147451740605111704012325929041920
29	3	5	1	3910795119708304954134467749284656185618169856
29	3	4	2	72212219045397425716044606845136293323309056
29	2	7	0	420788120727416313452241409550575459542630604800
29	2	6	1	-385389049135676540698018843147885504686710906880
29	2	5	2	40521056583157789155626917733629946273881915392
29	2	4	3	-941683523054445685369180120846367271783628800
29	1	8	0	42012448079271775633263245421924548598710943129600
29	1	7	1	-15099958973893889110516293767446267005524874854400
29	1	6	2	1785701374243041133958620028004460298280132771840
29	1	5	3	-84474614534387252557737461002168599594010607616
29	1	4	4	1347160254771981012469499876328245673506635776
29	0	9	0	109360234174341137765158591312122177818724864000
29	0	8	1	-348063337206871761457584859232320090720135372800
29	0	7	2	103008563741237140193186416190172602608373760000
29	0	6	3	-8792754905985851107269178533881659799256268800
29	0	5	4	223787164391233248397494121947352534309797888
29	0	4	5	-1010374724388369446943400387448415730925568
28	4	6	0	76003587286790864465206355192789523733463040
28	3	7	0	-3083821512600808385784151712722790618996736000
28	3	6	1	84847267856922940539178940479277624074076160
28	2	8	0	6589235138353495766233193164680634447982592000
28	2	7	1	-12092564011669936160461905488218183018723737600
28	2	6	2	755348144020932951225019196062428371393249280
28	1	9	0	2698562234387136874917073656069975876518707200000
28	1	8	1	-785631872903450844457996935239180751496667136000
28	1	7	2	67708184443303554037307028660436618042820198400
28	1	6	3	-1772828710485914397351505430510337292411207680
28	0	10	0	-44959399753246218697489836502712728272258355200
28	0	9	1	12077417817067066320509547139269623883534336000
28	0	8	2	-231859287749937451225407992906463808966656000
28	0	7	3	-34269360133811705962903588459179294336614400
28	0	6	4	462708783349637827126329944531689866854400
27	3	8	0	-43944627283370416250345854252550738394316800
27	2	9	0	-268547896750786326012017795679480126652416000
27	2	8	1	-151601102952204721172816425180985080912281600
27	1	10	0	110390862209154362245639900259796987597658521600
