A	B	Y	Z	u	coefficient
1	1	1	0	2	-1140501584234865357504
1	1	1	0	1	-8973388890680594102496
1	1	1	0	0	19020254999452614650016
1	1	0	4	0	-867991956480
1	1	0	3	3	-48977602560
1	1	0	3	2	5224685753088
1	1	0	3	1	821111343578496
1	1	0	3	0	14571060221911680
1	1	0	2	3	-1107028506263040
1	1	0	2	2	-112755112577653248
1	1	0	2	1	-2975895580826474784
1	1	0	2	0	-7155650481051288960
1	1	0	1	3	5077986427761603840
1	1	0	1	2	142114202184862633536
1	1	0	1	1	-177645249324497958336
1	1	0	1	0	-6232244892245726455872
1	1	0	0	3	1057027258052951880960
1	1	0	0	2	38901497213092672658304
1	1	0	0	1	232933899066362065518840
1	1	0	0	0	-498605713771508707568976
1	0	6	0	0	-13223952691200
1	0	5	1	1	528958107648
1	0	5	1	0	528958107648
1	0	5	0	1	434803564486656
1	0	5	0	0	11208357822007296
1	0	4	2	0	1175462461440
1	0	4	1	2	-5289581076480
1	0	4	1	1	-720044224035840
1	0	4	1	0	-243893767468032
1	0	4	0	2	-1928052302376960
1	0	4	0	1	-307727660501752320
1	0	4	0	0	-3598885765436442624
1	0	3	2	2	705277476864
1	0	3	2	1	62901934967808
1	0	3	2	0	-1262461376867328
1	0	3	1	2	4617539800713216
1	0	3	1	1	296577917850048768
1	0	3	1	0	-38129614590988800
1	0	3	0	2	1084198556790706176
1	0	3	0	1	82111473262656054144
1	0	3	0	0	582993553663685475072
1	0	2	3	2	117546246144
1	0	2	3	1	10167750291456
1	0	2	3	0	85867532808192
1	0	2	2	2	-661197634560000
1	0	2	2	1	-26016661265179392
1	0	2	2	0	375564190556005632
1	0	2	1	2	-1337644999123964928
1	0	2	1	1	-53292197259024042240
1	0	2	1	0	21735576511950464064
1	0	2	0	2	-217766820960978971904
1	0	2	0	1	-10518020154131660921664
1	0	2	0	0	-51235157177960843598624
1	0	1	4	1	195910410240
1	0	1	4	0	10520389029888
1	0	1	3	2	-74201067878400
1	0	1	3	1	-3249272109035520
1	0	1	3	0	-27130209914783232
1	0	1	2	2	163119902877199872
1	0	1	2	1	3632389814940428736
1	0	1	2	0	-43178328295243814016
1	0	1	1	2	158100041540055276288
1	0	1	1	1	4396677827817938643072
1	0	1	1	0	-2458359485098002781056
1	0	1	0	2	18705812181958144447488
1	0	1	0	1	653545575280916005741200
1	0	1	0	0	2341945369327203832210848
1	0	0	5	0	54419558400
1	0	0	4	2	39182082048
1	0	0	4	1	-61246492001280
1	0	0	4	0	-1592384303232000
1	0	0	3	2	8784142814656512
1	0	0	3	1	270572585104341504
1	0	0	3	0	2154192051045140928
1	0	0	2	2	-12135796436787989760
1	0	0	2	1	-172729418889171951936
1	0	0	2	0	1698093042845359490064
1	0	0	1	2	-6523314715953922520448
1	0	0	1	1	-136517889818630196628992
1	0	0	1	0	85708472893391495492784
1	0	0	0	2	-583998198661101882126528
1	0	0	0	1	-15861657661345516547870928
1	0	0	0	0	-43807354170590934790783524
0	5	0	0	2	-22039921152
0	5	0	0	1	260805733632
0	5	0	0	0	28570268160
0	4	2	0	0	1322395269120
0	4	1	0	3	220399211520
