A	B	Y	Z	coefficient
13	3	1	1	-37125723631512300504108553237494580500939166878524384024199168000000000000000000000000000
13	3	1	0	291749631924871743775884309735065541830606889980130131922717789357342720000000000000000000000
13	3	0	2	-2298755484890315970575894817193732299197109201977390917484544000000000000000000000000000
13	3	0	1	6499193113779847495919215090641815643434911571405994155526291927859200000000000000000000000
13	3	0	0	-40602023683764942185336212394233929439694898570961402823742624182623115673600000000000000000000
13	2	4	0	-744816740314856932979153986382307429249181439620569209241600000000000000000000000000000
13	2	3	1	-45561760161363365428070699527660581447765264780235018076160000000000000000000000000000
13	2	3	0	1412992558173744896483921914732378672526147151556365695080602796032000000000000000000000000
13	2	2	2	-5107588471958802478848024641001797744397763959221492121600000000000000000000000000000
13	2	2	1	70938261842347471841745881390392353331363924200286882186678763520000000000000000000000000
13	2	2	0	-853362599155203645422241761658746166240015277492886948632855208081227776000000000000000000000
13	2	1	2	-23439311282842793156072937276638070858364401789155530843462041600000000000000000000000000
13	2	1	1	18313440517979716123695065111632336612081928214998326916948953808240640000000000000000000000
13	2	1	0	196216854536442014067416955156556086252001156401862276569912106782313729228800000000000000000000
13	2	0	3	-504896134148142514470431005348711635741148313210019259613184000000000000000000000000000
13	2	0	2	15319301130192330198325652335571451505457897932171122107180622073036800000000000000000000000
13	2	0	1	-14123030275329641247935630039970587101636251980939909254112479330020674764800000000000000000000
13	2	0	0	-14424750732678496678950939880685278511358345272225721641692332020356810738237440000000000000000000
13	1	5	0	-218559418430210575310220981600660840106587251781540744108441600000000000000000000000000
13	1	4	1	453119462152375864621946514726760482613158196560798463033344000000000000000000000000000
13	1	4	0	224021896466813355831361189263769476653474683857312304696895786188800000000000000000000000
13	1	3	2	-24003608207999348708650563202547931241355864107397582684160000000000000000000000000000
13	1	3	1	-670276478507177414988872583200540816974707486369565714609946492928000000000000000000000000
13	1	3	0	-16336387256552686536667151021263676182074554799182696194010796288638976000000000000000000000
13	1	2	2	55642791644522391317967841253552845555695909280116962495519784960000000000000000000000000
13	1	2	1	294512298356236283399818426977322955430581303191104150689474847442993152000000000000000000000
13	1	2	0	-37376322323682165108446893167967365835849282020976844710026341507165973381120000000000000000000
13	1	1	3	2827149215007670318459218508941904134317761837212869407329484800000000000000000000000000
13	1	1	2	-31983008265043743897301996512618148617637506351453123979650214825820160000000000000000000000
13	1	1	1	-44520754086658820215823481333791153752429599182024680796103125075007583027200000000000000000000
13	1	1	0	10977856977925679400652453691496965365011574068757606691427079038935867112554496000000000000000000
13	1	0	4	194664436827614318774092345354044193531403578829853960437760000000000000000000000000000
