A	B	Y	Z	u	coefficient
13	2	2	0	1	-857999196003125125215162450000
13	2	1	2	1	-13246484124694992187500000
13	2	1	1	4	2329442510991861037500000
13	2	1	1	3	470675777784303338264250000
13	2	1	1	2	29852483896197208125396000000
13	2	1	1	1	172475229687500401322541750000
13	2	1	0	5	12436027945486596111600000
13	2	1	0	4	-28068632704571371161044985000
13	2	1	0	3	-1359357892734054706825398750000
13	2	1	0	2	7261132878137738894931770220000
13	2	1	0	1	185901117517639640296671054772500
13	2	0	2	4	30489340804773750000000
13	2	0	2	3	12502618007390436768750000
13	2	0	2	2	699414880528989316912500000
13	2	0	2	1	23324676627183446819250000000
13	2	0	1	5	499813620744170448000000
13	2	0	1	4	-3315801055732214693532300000
13	2	0	1	3	-243438808875259012515324900000
13	2	0	1	2	-7628877724402977627278227950000
13	2	0	1	1	-30755579017330728866204830912500
13	2	0	0	5	-3844421606202378230398671000
13	2	0	0	4	4852720729915187227641960219000
13	2	0	0	3	179412152149752867807639197444100
13	2	0	0	2	-393608927162754823082350106460600
13	2	0	0	1	-11283040582962453683164374850318950
13	1	5	0	1	455401628544307500000000
13	1	4	0	4	14463151562643300000000
13	1	4	0	3	1405765111489944390000000
13	1	4	0	2	-355277359976412404160000000
13	1	4	0	1	-972606526456222779367500000
13	1	3	1	3	344855237124473100000000
13	1	3	1	2	37682809481245979250000000
13	1	3	1	1	-258278748161515944525000000
13	1	3	0	5	-2892630312528660000000
13	1	3	0	4	148510153276374264111000000
13	1	3	0	3	10144290719083972204620900000
13	1	3	0	2	271871787564517294282293900000
13	1	3	0	1	725776483261227254545441500000
13	1	2	2	2	2090659201594168500000000
13	1	2	2	1	34548491699630208562500000
13	1	2	1	4	-21674215720991960091000000
13	1	2	1	3	-1840249797683038288446600000
13	1	2	1	2	-23685312175262866421166600000
13	1	2	1	1	-68204124197870760043346250000
13	1	2	0	5	-20456459002396016247240000
13	1	2	0	4	-98901920260633108917851820000
13	1	2	0	3	-5518991193070973508822892536000
13	1	2	0	2	-73508291383100134363415403408000
13	1	2	0	1	-229057137068642194583697875554500
13	1	1	3	1	4392396597426901875000000
13	1	1	2	4	-972383214021632100000000
13	1	1	2	3	-37388020570302078211500000
13	1	1	2	2	-307769760548229025278000000
13	1	1	2	1	461950530823067895688500000
13	1	1	1	5	4859215720285383952200000
13	1	1	1	4	11491034894889435619551720000
13	1	1	1	3	698768897797543976079750540000
13	1	1	1	2	8011032282067502079925511580000
13	1	1	1	1	67768742460397092435302746635000
13	1	1	0	5	10427219141164288864990488000
13	1	1	0	4	19001233367821589138365571341200
13	1	1	0	3	899927148343012201064458985887800
13	1	1	0	2	8491021970163466752665662810640400
13	1	1	0	1	31321444878024312775029769268787600
13	1	0	3	3	-2980890697548980925000000
13	1	0	3	2	-172369386506181955050000000
13	1	0	3	1	2632041209652165712462500000
13	1	0	2	5	122700209705768520000000
13	1	0	2	4	77889652615537174636200000
13	1	0	2	3	-22784757070489738252461450000
13	1	0	2	2	-1076110418486237558173595100000
13	1	0	2	1	-8393580180122265346629623175000
13	1	0	1	5	-2326211463099253372372440000
13	1	0	1	4	-1063201203206095017169118952000
13	1	0	1	3	-53700720464203943482403892442800
13	1	0	1	2	-750313157923846560646240014513600
13	1	0	1	1	-7233242350224682703640495785320800
13	1	0	0	5	-936310030067674059872609049120
13	1	0	0	4	-1106346488937542846917640082781200
13	1	0	0	3	-45791305803240348250214246702671272
13	1	0	0	2	-360499815262106460604510380334581408
13	1	0	0	1	-1532281174313732263737185022242774496
13	0	6	0	1	-687476356762932000000000
13	0	5	0	4	-62918443480970880000000
13	0	5	0	3	-11423849287197299040000000
13	0	5	0	2	954451195242840062064000000
13	0	5	0	1	330387075602215078392000000
13	0	4	1	3	110916748571267520000000
13	0	4	1	2	-272966249161734860160000000
13	0	4	1	1	2147798033918773469640000000
13	0	4	0	4	-226714138570451557411200000
13	0	4	0	3	-10442952931770309699564480000
13	0	4	0	2	-1077453190553487192931645440000
13	0	4	0	1	272711357575992722709023040000
13	0	3	2	2	12222068828492548800000000
13	0	3	2	1	-563360904349530804000000000
13	0	3	1	4	128276103387182986454400000
13	0	3	1	3	8615250794915490483100800000
13	0	3	1	2	235816707766734545531774400000
13	0	3	1	1	-2137275761355135886099579200000
13	0	3	0	4	253214591651796136135137408000
13	0	3	0	3	13590056888598343750227384336000
13	0	3	0	2	449768182590440161102919272248000
13	0	3	0	1	-200872426515620455026116934048000
13	0	2	3	1	27228298816759464000000000
13	0	2	2	4	-10667331889285589280000000
13	0	2	2	3	-593155266752035418270400000
13	0	2	2	2	18174245314025533782355200000
13	0	2	2	1	557934677461224199343811600000
13	0	2	1	4	-114040918306848307545436320000
13	0	2	1	3	-6198816931357365724989825216000
13	0	2	1	2	-77694213437086190259887480592000
13	0	2	1	1	702095859653397847944099861564000
13	0	2	0	4	-85241514417532274669433340593600
13	0	2	0	3	-4366377571139814823474680489847680
13	0	2	0	2	-87766911418284803420266600824661440
13	0	2	0	1	46128524697952588438287244015290840
13	0	1	3	3	-38975423492528099280000000
13	0	1	3	2	-4328360158806217873440000000
13	0	1	3	1	-21269204856616457869380000000
13	0	1	2	4	8922649734474164705318400000
13	0	1	2	3	361960476328145778896425680000
13	0	1	2	2	-8943468568672767616790535600000
13	0	1	2	1	-159165992147927145286875600780000
13	0	1	1	4	29421789206689042525321078723200
13	0	1	1	3	1361443763968046662102733616364800
13	0	1	1	2	11410970312440309331726385813028800
13	0	1	1	1	-91300251063611205110027163894130800
13	0	1	0	4	11466329585991249039929300009923488
13	0	1	0	3	553222804430175194275288804441026432
13	0	1	0	2	8073207007600965925661944574549705856
13	0	1	0	1	-4573220282190648356913174363308707392
13	0	0	4	1	-2865966137164524596850000000
13	0	0	3	4	370748309755166043552000000
13	0	0	3	3	36624622568259106579068000000
13	0	0	3	2	1559392691255793378527313600000
13	0	0	3	1	8107945334206473562234970400000
13	0	0	2	4	-1998415380647777735427737040000
13	0	0	2	3	-65683990053920851387704234648000
13	0	0	2	2	661978735221893663121961302259200
13	0	0	2	1	12073502348085921554198652539209200
13	0	0	1	4	-2169251335414271165848389329091840
13	0	0	1	3	-90609164636933871728797610839698720
13	0	0	1	2	-598148833783834876646069940275384256
13	0	0	1	1	4100930863322418867403347209056077264
13	0	0	0	4	-539693830115081498760552364508248320
13	0	0	0	3	-24537323899184501282627664146159012448
13	0	0	0	2	-282219500356510724446442359814065237824
13	0	0	0	1	168880372185131792809787448487760669424
12	5	0	0	2	692858566984348828125000
12	5	0	0	1	105697106710504160976562500
12	4	1	0	3	-883002694632090075000000
12	4	1	0	2	-78176985940867212056250000
12	4	1	0	1	3469581296521212560709375000
12	4	0	1	2	-1198383704417362500000000
12	4	0	1	1	-129467761147802015156250000
12	4	0	0	5	-3527786200970995312500
12	4	0	0	4	20468158543631048079375000
12	4	0	0	3	-452614120547629477779843750
12	4	0	0	2	-44775036884198722710871687500
12	4	0	0	1	-1495843909385951590422582937500
12	3	3	0	1	6656253655768520625000000
12	3	2	0	4	11451137100302700000000
12	3	2	0	3	-33061819090661764143750000
12	3	2	0	2	-3764510651482498049478750000
12	3	2	0	1	-3113616305944925774623125000
12	3	1	1	3	-855009021695448712500000
12	3	1	1	2	-78460086802816662862500000
12	3	1	1	1	-9814737228412357709831250000
12	3	1	0	5	-119921784326992091250000
12	3	1	0	4	637719434916861071570625000
12	3	1	0	3	66879296676294414538633875000
12	3	1	0	2	2489156856862775210886661125000
12	3	1	0	1	1926780071061512248195429125000
12	3	0	2	2	-1015221539497872656250000
12	3	0	2	1	-177599144303192152265625000
12	3	0	1	5	-3292976314890393750000
12	3	0	1	4	20124981098171772648750000
12	3	0	1	3	4353881920371843605397000000
12	3	0	1	2	202882247281442976639779250000
12	3	0	1	1	3700935729622108733238525375000
12	3	0	0	5	238370299946463661561620000
12	3	0	0	4	-262494807889690114744279095000
12	3	0	0	3	-17306530057187395092688354458750
12	3	0	0	2	-374417486306140524184418554215000
12	3	0	0	1	-521568993992695650724445723435625
12	2	4	0	2	-2223047133671139000000000
12	2	4	0	1	86547044594271817125000000
12	2	3	1	1	-10354996631362573125000000
12	2	3	0	4	2702226715581566340000000
12	2	3	0	3	182313261242897361093000000
12	2	3	0	2	-14875535980917001280650500000
12	2	3	0	1	-94339157923615316073304500000
12	2	2	1	4	137295085924654200000000
12	2	2	1	3	49124836318108049325000000
12	2	2	1	2	4430674357971582517515000000
12	2	2	1	1	-4120324867614763194401250000
12	2	2	0	5	1790594448132269229750000
12	2	2	0	4	-1057918538528791406873100000
12	2	2	0	3	-51655829214434641118953965000
12	2	2	0	2	9891769823843299097589622080000
12	2	2	0	1	34939114576360330941896826195000
12	2	1	2	3	1447518452615994375000000
12	2	1	2	2	171879342208507496812500000
12	2	1	2	1	5399510814264377890406250000
12	2	1	1	5	92308813659313312500000
12	2	1	1	4	-1118486413285992639117000000
12	2	1	1	3	-86108630008238776163060550000
12	2	1	1	2	-2510931303225291046846183200000
12	2	1	1	1	1934193163630635217224372600000
12	2	1	0	5	-1343297449573852187048490000
12	2	1	0	4	294540990642627026192737353000
12	2	1	0	3	5319185658237654184456348167000
12	2	1	0	2	-1892110515235112409766948640421000
12	2	1	0	1	-5337024579053359471856744348557500
12	2	0	3	2	520011758441615625000000
12	2	0	3	1	211031255399182725937500000
12	2	0	2	5	2191386062316487500000
12	2	0	2	4	-22466674274482621485000000
12	2	0	2	3	-2679475337895233080302750000
12	2	0	2	2	-126553120894762153221944250000
12	2	0	2	1	-1649369870697376506647090250000
12	2	0	1	5	-35837895986064738425340000
12	2	0	1	4	359201442180452743198706580000
12	2	0	1	3	18666955855656425778159109995000
12	2	0	1	2	339435303416494164791806637340000
12	2	0	1	1	73250029356781067554210021710000
12	2	0	0	5	226937475965704091437561825800
12	2	0	0	4	-63304765552583412305467524085800
12	2	0	0	3	-1005510933749669286100076123010480
12	2	0	0	2	105422001430974560112478278423529440
12	2	0	0	1	272277039381711684850605025202965470
12	1	5	0	3	15954750577998000000000
12	1	5	0	2	-23539336776533077200000000
12	1	5	0	1	-21246313837601567250000000
12	1	4	1	2	1553818229327448000000000
12	1	4	1	1	-44970607575526410000000000
12	1	4	0	4	19901587656288142188000000
12	1	4	0	3	1853980227107713449757800000
12	1	4	0	2	28086017348091256378632000000
12	1	4	0	1	51305115134686495748303700000
